index,distribution
eQ91p0tvNP0-28,"[0.014413530003516315, 0.0020507410056275974, 0.07492174777822787, 9.956703226221856e-05, 0.15444001836327528, 0.1493882279984923, 0.0762182018178813, 0.03122517725197231, 0.07066150869795888, 0.42658128005078577]"
eQ91p0tvNP0-29,"[0.07809548736298211, 0.01721407270509393, 0.07549686544726569, 0.056709805198770176, 0.0638474294177031, 0.08667558589573957, 0.24467093187514646, 0.0974254889948286, 0.02168577630770781, 0.2581785567947624]"
eQ91p0tvNP0-30,"[0.00011762646716976975, 0.00015070483032570198, 0.2611582593966384, 0.005859436754490629, 0.06265641634019593, 0.2982273970699665, 5.39089541950193e-05, 0.18426594610731617, 0.17233272747763675, 0.015177576602065063]"
eQ91p0tvNP0-31,"[0.06378244092161675, 0.03681529940356538, 0.005020898553050342, 0.0008667904778650525, 0.016375633770447696, 0.05831202860832552, 0.36843869080325886, 0.04857013538664527, 0.14531186291074386, 0.2565062191644816]"
eQ91p0tvNP0-32,"[0.0938840147268103, 0.03354677792961398, 0.08652681549034193, 0.00015885186366459907, 0.038971091084885744, 0.14510328587474838, 0.011484908955690409, 0.3728039808695155, 0.05211993845804856, 0.16540033474668114]"
eQ91p0tvNP0-33,"[0.0779467799864049, 0.062101364369795166, 0.2157361246135626, 0.10917468849683522, 0.0634258626958161, 0.06085112503188718, 0.06483631130111303, 0.0006902407417263296, 0.127589995731177, 0.2176475070316826]"
eQ91p0tvNP0-34,"[0.03763573235002726, 0.03258490937233184, 0.10078425976158012, 0.08674040800811883, 0.08589777825617727, 0.2599559512029423, 0.11147493155240783, 0.18156562745646035, 0.014848243721021346, 0.0885121583189327]"
eQ91p0tvNP0-35,"[0.05367272896791032, 0.07418599411651175, 0.03691215682633784, 0.04122656996721201, 0.03387863770164985, 0.22928884448673534, 0.18508513333885096, 0.07124643701692092, 0.12634596165034676, 0.1481575359275244]"
eQ91p0tvNP0-36,"[0.10498771431104578, 0.010390774189128307, 0.0011346247431247166, 0.050011335261610536, 0.061451054844564826, 0.35800571717858415, 0.0970117905250427, 0.1363468946720757, 9.793657981217053e-05, 0.18056215769501108]"
eQ91p0tvNP0-37,"[0.11334283109047762, 0.03250681912191606, 0.13307951586944688, 0.004551736238795095, 0.03409664502481736, 0.02604937898261713, 0.23099772908695057, 0.17039829682796903, 0.012697559342953895, 0.24227948841405617]"
eQ91p0tvNP0-38,"[0.012321610438698071, 0.05311429715833251, 0.03257899500811384, 0.0005091277346801766, 2.937411035270633e-05, 0.09668584662069177, 0.10461048321126427, 0.0009917427304487654, 0.14008473213298392, 0.5590737908544336]"
